metric,value
model_path,/mnt/beegfsstudents/home/3199302/ASO-Temba/outputs/causal-tsu_clip/best_model.pth
dataset,tsu
mode,rgb
num_classes,51
num_parameters,15635364
eval_time_seconds,349.93
val_loss,1.9855787257890443
per_frame_mAP,38.70216369628906
sampled_mAP_25,43.778106689453125
block1_per_frame_mAP,31.815393447875977
block2_per_frame_mAP,35.23786926269531
block3_per_frame_mAP,36.47051239013672
block1_sampled_mAP_25,35.663780212402344
block2_sampled_mAP_25,39.76457977294922
block3_sampled_mAP_25,40.96654510498047
offline_avg_inference_time_s,0.03767813605231208
offline_avg_per_frame_latency_ms,0.015071254420924832
offline_avg_real_time_factor,1.857678404394383e-06
stream_chunk_size,25
stream_num_demo_videos,50
stream_avg_per_frame_latency_ms,2.629100513458252
stream_avg_first_chunk_latency_ms,69.85504627227783
stream_avg_real_time_factor,0.0008127941343920626
