vid_id,num_frames,video_duration_s,video_fps,chunk_size,num_chunks,total_stream_time_s,per_frame_latency_ms,mean_chunk_time_ms,max_chunk_time_ms,first_chunk_latency_ms,real_time_factor
P11T15C01,2500,22760.0,0.11,25,100,6.626109600067139,2.6504438400268557,66.26109600067139,174.15404319763184,174.15404319763184,0.0002911295957850237
P10T09C01,2500,29310.0,0.09,25,100,6.53107762336731,2.612431049346924,65.3107762336731,69.18621063232422,69.18621063232422,0.0002228276227692702
P16T07C01,2500,29435.0,0.08,25,100,6.523908853530884,2.6095635414123532,65.23908853530884,66.67113304138184,66.67113304138184,0.00022163780715239967
P18T14C03,2500,8638.0,0.29,25,100,6.523042678833008,2.609217071533203,65.23042678833008,68.40252876281738,68.40252876281738,0.00075515659629926
P18T14C07,2500,8660.0,0.29,25,100,6.641098499298096,2.6564393997192384,66.41098499298096,68.49431991577148,68.49431991577148,0.0007668704964547455
P14T09C02,2500,28825.0,0.09,25,100,6.638713836669922,2.6554855346679687,66.38713836669922,67.87562370300293,67.87562370300293,0.00023031097438577352
P20T04C05,2500,31754.0,0.08,25,100,6.598793029785156,2.6395172119140624,65.98793029785156,67.90900230407715,67.90900230407715,0.0002078098201733689
P14T09C01,2500,28838.0,0.09,25,100,6.6167871952056885,2.6467148780822756,66.16787195205688,68.07899475097656,68.07899475097656,0.0002294468130662906
P02T01C07,2500,17807.0,0.14,25,100,6.634051084518433,2.6536204338073732,66.34051084518433,67.79241561889648,67.79241561889648,0.0003725529895276258
P02T01C06,2500,17771.0,0.14,25,100,6.612188339233398,2.6448753356933596,66.12188339233398,67.46697425842285,67.46697425842285,0.0003720774486091609
P18T10C01,2500,31143.0,0.08,25,100,6.4872026443481445,2.594881057739258,64.87202644348145,66.77651405334473,66.77651405334473,0.0002083037165445893
P18T10C02,2500,31115.0,0.08,25,100,6.487316608428955,2.5949266433715823,64.87316608428955,66.7576789855957,66.47777557373047,0.00020849482913157496
P02T05C05,2500,22697.0,0.11,25,100,6.486440181732178,2.5945760726928713,64.86440181732178,66.7119026184082,66.7119026184082,0.00028578403232727576
P02T05C04,2500,22716.0,0.11,25,100,6.6113221645355225,2.644528865814209,66.11322164535522,68.33028793334961,68.33028793334961,0.00029104253233560147
P14T08C05,2500,24288.0,0.1,25,100,6.609293699264526,2.6437174797058107,66.09293699264526,67.8412914276123,67.8412914276123,0.0002721217761554894
P14T08C04,2500,24282.0,0.1,25,100,6.580097198486328,2.6320388793945315,65.80097198486328,68.20225715637207,68.20225715637207,0.00027098662377424956
P11T09C01,2500,27667.0,0.09,25,100,6.615269422531128,2.6461077690124513,66.15269422531128,68.65382194519043,68.65382194519043,0.0002391032429439812
